,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
151,Codemasters ,AA,36,0,311700000,8700000,873000,0.39,0,0.22,0.06,0.08,0.42,0.06,0.11,0,0.69,0.58
152,Gales Corp. ,Indie,36,0,102000,2842,1963,0,0.94,0.08,0.33,0.33,0.17,0.03,0.03,0,0.03,0.03
153,Outright Games LTD. ,Indie,36,0,2400000,68015,17520,0,0,0.53,0.11,0.61,0.03,0.03,0.06,0,0.17,0.06
154,Capcom ,AAA,36,0,359700000,10000000,4900000,0.53,0,0.92,0.08,0.56,0,0.06,0.06,0,0,0
155,Humongous Entertainment ,Indie,35,0,1400000,38939,25996,1,0,0,1,0.74,0,0,0,0,0,0
156,Ratalaika Games S.L. ,Indie,35,12,287000,8202,1726,0.21,1,0.72,0.57,0.51,0.02,0.06,0.09,0,0.04,0
157,HIKARI FIELD ,Indie,35,3,32600000,932000,386000,0.05,0,0,0.74,0.95,0.05,0,0,0,0,0.03
158,Ultimate Games S.A. ,Indie,35,22,5900000,168000,38422,0.04,0.82,0.49,0.46,0.58,0.53,0.11,0.11,0.02,0.04,0.07
161,ANPA.US ,Indie,35,1,1000000,28769,1780,0.03,1,0.53,0.28,0.08,0.42,0.03,0,0,0,0.06
163,SakuraGame ,Indie,35,6,4400000,126000,58217,0,0.93,0.17,0.37,0.88,0.12,0.07,0.66,0.02,0,0
164,Team17 ,Indie,34,5,208000000,6100000,692000,0.1,0.82,0.59,0.23,0.51,0.36,0.36,0.31,0.03,0,0.03
165,owlyboi ,Indie,34,1,61617,1812,1138,1,0,0,0.03,0.97,0,0,0,0,0,0.03
166,OTAKU Plan ,Indie,34,16,2800000,82778,42404,0,0.34,0.04,0.12,0.94,0.02,0.14,0.98,0,0,0
167,Humble Games ,Indie,34,7,125800000,3700000,565000,0,0.85,0.54,0.15,0.66,0.17,0.29,0.37,0.02,0,0.02
168,Winter Wolves ,Indie,34,2,3400000,101000,32325,1,0.81,0,0.39,0.64,0.33,0.11,0.22,0,0,0.06
169,"PopCap Games, Inc. ",Indie,34,1,29200000,860000,35255,0.74,0,0.03,0.97,0,0,0.11,0,0,0,0
170,Casual Arts ,Indie,34,0,9903,291,246,1,0.76,0,0.97,0.82,0,0,0,0,0,0
171,SOFTSTAR Entertainment ,Indie,33,1,9900000,299000,45405,0.65,0.03,0.03,0.44,0.09,0.18,0.12,0.59,0,0,0
172,Bohemia Interactive ,AAA,33,0,625400000,19000000,328000,0.73,0.21,0.48,0.12,0.24,0.36,0.42,0,0.03,0,0
173,HeR Interactive ,Indie,33,0,1700000,51754,33087,0.94,0,0.03,0.03,0.94,0,0,0,0,0,0
174,Louie Inc ,Indie,33,0,116000,3516,2888,0.52,0.88,0.21,0.79,0.48,0.09,0,0.09,0,0.12,0.03
175,Fruitbat Factory ,Indie,32,1,7500000,234000,39168,0,0.73,0.36,0.33,0.67,0,0.12,0.12,0,0,0
176,magnussoft ,Indie,32,0,19410,607,240,1,0,0.22,0.84,0,0.19,0.31,0,0,0.16,0.09
177,Anatoliy Loginovskikh ,Indie,32,3,159000,4982,4547,1,1,0.06,0.97,0.91,0.06,0.03,0,0,0,0
178,W. T. B. ,Indie,32,1,44396,1387,706,0,1,0.18,0.82,0.21,0.21,0.06,0.09,0,0.03,0.06
180,Digital Tribe ,Indie,31,1,5100000,165000,55794,0,0.88,0.53,0.09,0.31,0.06,0.16,0.22,0,0.03,0.03
181,VR RETRO REMASTER ,Indie,31,13,7966,257,187,1,0.2,0.68,0.86,0.36,0.55,0.11,0.25,0,0.02,0.05
182,Feral interactive (Linux) ,AA,31,0,1300000000,42300000,41800000,1,0,0.39,0,0.16,0.13,0.58,0.03,0,0.16,0.16
183,Hentai works ,Indie,30,2,24792,826,504,0,1,0,1,0,0,1,0,0,0,0
184,PID Games ,Indie,30,9,5800000,193000,18268,0,0.82,0.46,0.23,0.59,0.15,0.13,0.08,0,0,0
185,Frontwing USA ,Indie,30,0,5500000,182000,62482,0,0,0.03,1,0.97,0,0,0,0,0,0
186,Good Shepherd Entertainment ,AA,30,4,69400000,2300000,627000,0,0.65,0.62,0.06,0.41,0.21,0.35,0.24,0,0,0
187,Flyhigh Works ,Indie,30,4,1400000,47124,10591,0.03,0.53,0.44,0.32,0.38,0.12,0.18,0.32,0,0,0
188,Cute Pen Games ,Indie,30,5,14997,500,392,1,0.03,0.14,0.77,0,0.09,0,0,0,0,0
189,TigerQiuQiu ,Indie,30,8,130,4,0,1,0.87,0.76,0.79,0.11,0.16,0.26,0.11,0,0.05,0.05
190,Armor Games Studios ,Indie,30,5,9800000,326000,95518,0.03,0.71,0.31,0.23,0.57,0.14,0.2,0.29,0,0,0
191,"CFK Co., Ltd. ",Indie,30,1,2500000,82651,13354,0.39,0.68,0.58,0.39,0.45,0.35,0.06,0.1,0,0,0
192,DRUNKEN APES ,Indie,30,2,0,0,0,1,0.97,0.75,0.84,0.44,0.44,0,0,0,0.16,0.16
193,Minimol Games ,Indie,30,3,60552,2018,1220,0.94,0.3,0.06,0.91,0.03,0.12,0.61,0.03,0,0,0.09
194,Grey Alien Games ,Indie,29,2,705000,24325,5114,0.23,0.84,0,0.94,0,0.03,0.06,0.03,0,0,0
195,Freedom! Games ,Indie,29,34,9400000,325000,37877,0,0.81,0.49,0.3,0.52,0.27,0.27,0.38,0.02,0.02,0.02
196,КиКо ,Indie,29,0,369000,12708,1959,0.52,0.41,0.28,0.38,0.24,0.07,0,0,0,0,0
197,KPL ,Indie,29,1,2800000,97978,21033,0,0.63,0.43,0.37,0.53,0.13,0.27,0.2,0,0.03,0.03
198,INFINITE BRIDGE ,Indie,29,0,5312,183,139,0.86,0.97,0.34,0.83,0,0.48,0.03,0,0,0.17,0.07
200,Versus Evil ,Indie,28,2,32400000,1200000,228000,0,0.87,0.57,0.07,0.37,0.03,0.37,0.43,0.03,0,0
201,Bmc Studio ,Indie,28,0,0,0,0,1,0.71,0.86,0.57,0.89,0.39,0.46,0.54,0,0,0.04
202,iWin ,Indie,28,2,206000,7375,5470,0.47,0,0.13,0.7,0.07,0.17,0.03,0,0,0,0
