,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
49,ESDigital Games ,Indie,78,1,4500000,58326,19178,0.01,0.29,0.23,0.58,0.3,0.38,0.48,0.1,0,0.05,0
50,Gamera Games ,Indie,76,13,70200000,924000,52213,0,0.91,0.33,0.28,0.4,0.3,0.28,0.26,0,0,0
51,Blender Games ,Indie,71,0,377000,5311,758,1,1,0.03,1,0.03,0,0,0,0,0,0
52,Headup Publishing ,Indie,70,2,22400000,320000,123000,0,0.82,0.56,0.25,0.47,0.19,0.22,0.29,0,0.04,0.03
53,EroticGamesClub ,Indie,67,1,15103,225,210,1,1,0,0.99,0,0.1,0,0,0,0,0
54,RewindApp ,Indie,67,1,1000000,15293,1449,0.94,1,0.34,0.9,0.12,0.29,0.26,0,0.01,0.18,0.03
55,Individual Software ,Indie,67,2,105000,1574,744,0.86,0,0,0.06,0,0,0,0,0,0,0
56,My Way Games ,Indie,67,0,553000,8255,1848,0.01,0.81,0.49,0.69,0.58,0.22,0.04,0.04,0,0.19,0.21
57,Forever Entertainment S. A. ,Indie,67,5,9700000,145000,50546,0.25,0.85,0.67,0.68,0.49,0.21,0.14,0.11,0,0.03,0.03
58,Garage Games ,Indie,66,0,657000,9955,699,0.29,0.91,0.36,0.82,0.26,0.09,0.02,0,0,0.03,0
59,Bethesda Softworks ,AAA,65,3,1900000000,29800000,11800000,0.06,0,0.66,0.01,0.09,0.01,0.01,0.32,0.04,0,0
60,United Independent Entertainment ,Indie,63,0,5600000,88994,12411,0.44,0.14,0.24,0.35,0.16,0.7,0.11,0.08,0.03,0.02,0.08
61,Ripknot Systems ,Indie,62,0,896000,14449,6525,1,0.63,0.52,1,0,0.5,0.55,0.02,0,0,0
62,MAGIX Software GmbH ,Indie,61,0,19500000,320000,53397,0.98,0,0,0,0,0,0,0,0,0,0
63,Trinity Project ,Indie,61,0,1400000,23729,3916,0.05,0.85,0.67,0.61,0.43,0.25,0.26,0.03,0.05,0.02,0.05
64,Focus Entertainment ,Indie,60,8,356000000,5900000,1900000,0.03,0.24,0.5,0.06,0.46,0.16,0.18,0.37,0.03,0,0.03
65,DIG Publishing ,Indie,60,1,19683,328,282,0.43,1,0,1,0,0,0,0,0,0,0
66,kazakovstudios ,Indie,59,0,195000,3303,1772,0.12,0.9,0.2,0.44,0.42,0.24,0,0.05,0,0.02,0.07
67,William at Oxford ,Indie,57,4,105000,1842,594,1,0.03,0.21,0.97,0.13,0.16,0.02,0.1,0,0.02,0.05
68,Back to Basics Gaming ,Indie,57,0,5700000,99993,23355,0.07,0.98,0.44,0.56,0.25,0.11,0.07,0.21,0,0.05,0
69,PsychoFlux Entertainment ,Indie,56,7,475000,8487,2214,0,1,0.54,0.51,0.41,0.03,0.08,0.16,0,0,0.02
70,KEMCO ,Indie,56,0,1500000,27192,2712,0.05,0.39,0.07,0.52,0.96,0.52,0.68,0.91,0,0,0.02
71,Cyber Keks ,Indie,56,3,72206,1289,524,0.98,0.98,0.12,0.98,0.15,0.17,0,0.15,0,0,0.29
72,PQube ,Indie,55,5,11700000,214000,50652,0.02,0.58,0.5,0.15,0.6,0.15,0.23,0.28,0,0.12,0.02
73,Funbox Media Ltd ,Indie,55,6,4000000,72583,3612,0,0.34,0.36,0.31,0.1,0.21,0.15,0.02,0,0.08,0.2
74,Cherry Kiss Games ,Indie,55,1,880000,15999,8975,0.02,0,0,1,0.02,0,0,0,0,0,0
75,Aldorlea Games ,Indie,55,0,1400000,25892,5823,0.33,0.87,0.09,0.67,0.73,0.15,0.38,1,0,0,0
76,Meridian4 ,Indie,54,5,5300000,99061,9341,0.08,0.97,0.66,0.41,0.59,0.1,0.19,0.22,0,0.05,0
77,IR Studio ,Indie,54,6,304000,5624,2210,0.9,1,0.02,0.98,0,0,0,0,0,0,0
78,Iceberg Interactive ,Indie,54,9,23700000,438000,168000,0,0.83,0.33,0.17,0.46,0.29,0.41,0.11,0,0.02,0.03
80,Ghost_RUS Games ,Indie,53,0,306000,5767,1171,0,1,0.34,0.75,0.6,0.25,0.02,0.02,0.04,0.04,0.02
81,ImperiumGame ,Indie,52,0,40265,774,478,0.98,0.92,0.25,0.17,0.17,0.04,0.06,0.02,0,0.06,0
82,Kalypso Media Digital ,AA,52,0,118300000,2300000,399000,0,0.12,0.29,0.06,0.08,0.38,0.65,0.27,0,0.02,0.02
83,Deep Silver ,AA,52,0,414300000,8000000,1300000,0,0.04,0.58,0.04,0.17,0.1,0.12,0.04,0,0.02,0
84,505 GAMES ,AA,51,8,316700000,6200000,1100000,0.02,0.42,0.66,0.08,0.59,0.27,0.25,0.34,0,0.03,0.12
85,HandyGames ,Indie,51,4,16200000,317000,68653,0.22,0.58,0.47,0.24,0.42,0.27,0.27,0.05,0,0.05,0.04
86,Droid Riot ,Indie,51,0,186000,3643,1551,0.04,0.9,0.63,0.39,0.55,0.2,0.08,0.02,0,0.06,0.02
87,Atari ,Indie,51,0,10400000,203000,9262,0.04,0.02,0.53,0.12,0.22,0.35,0.29,0.1,0.02,0.04,0.04
88,"NIS America, Inc. ",Indie,50,7,27500000,550000,221000,0,0.04,0.32,0,0.3,0.02,0.26,0.65,0,0,0
89,Xbox Game Studios ,AAA,50,2,1500000000,29100000,9100000,0,0.08,0.56,0.1,0.38,0.21,0.23,0.13,0,0.06,0.02
90,"Marvelous USA, Inc. ",Indie,50,3,67500000,1300000,422000,0,0.08,0.53,0.13,0.17,0.15,0.04,0.53,0,0.02,0
91,Sometimes You ,Indie,49,0,7900000,162000,35322,0.12,0.98,0.27,0.59,0.49,0.08,0.04,0.16,0,0,0
92,H-GAME ,Indie,49,8,87513,1786,0,0.09,0,0.18,0,0.02,0.07,0,0.77,0,0,0.04
93,Warner Bros. Interactive Entertainment ,AAA,49,1,752400000,15400000,8900000,0,0,0.86,0.06,0.54,0,0.08,0.04,0.02,0.02,0
94,Volens Nolens Games ,Indie,49,0,2000000,41437,5267,0.45,0.94,0.65,0.49,0.55,0.02,0.14,0.18,0,0.02,0.02
95,玫瑰工作室 ,Indie,48,0,44317,923,403,0.98,0.88,0.1,0.92,0.85,0.13,0.15,0.25,0,0,0
96,Kotovodk Studio ,Indie,48,0,48221,1005,765,1,1,0,1,0,0,0,0,0,0,0
97,Feral Interactive (Mac) ,AA,47,0,1600000000,33300000,13900000,1,0,0.51,0,0.3,0.17,0.43,0.06,0,0.17,0.15
98,Enoops ,Indie,47,0,174000,3697,1985,0.74,0.98,0.47,0.77,0.81,0.04,0,0.49,0,0.04,0
99,Assemble Entertainment ,Indie,46,9,11600000,252000,55492,0.18,0.6,0.31,0.15,0.64,0.25,0.31,0.15,0,0.05,0.02
100,Retroism ,Indie,46,0,1200000,25095,13802,0,0.02,0.26,0.11,0.24,0.57,0.3,0.04,0,0.02,0.02
101,khukhrovr ,Indie,46,0,173000,3769,1964,0.04,0.85,0.17,0.24,0.33,0.26,0.02,0.04,0,0.04,0.07
